id,tested_positive
0,8.662379
1,7.4330845
2,5.379282
3,9.598206
4,17.552732
5,14.212652
6,10.813238
7,14.775717
8,12.894886
9,11.422262
10,10.021706
11,10.086549
12,10.318533
13,16.585075
14,14.902872
15,7.177193
16,9.387211
17,5.3056054
18,8.063689
19,9.949179
20,20.321379
21,5.5299025
22,10.672648
23,10.024359
24,14.640688
25,18.78748
26,24.958317
27,8.956968
28,6.252464
29,15.483332
30,12.896124
31,4.916672
32,11.931448
33,8.874726
34,9.5966625
35,5.726858
36,13.812782
37,15.620504
38,9.580126
39,12.822437
40,13.847203
41,25.104633
42,5.4681644
43,10.7701
44,24.177553
45,22.884314
46,16.330065
47,5.617977
48,9.794164
49,4.4631805
50,4.786133
51,6.466913
52,12.959001
53,16.36584
54,16.152544
55,18.2985
56,17.064775
57,11.587612
58,25.61566
59,9.460868
60,17.750397
61,18.653433
62,11.486666
63,17.32249
64,20.41159
65,14.284931
66,10.263252
67,5.4354444
68,9.455684
69,16.605223
70,21.8426
71,21.253914
72,5.081691
73,12.221935
74,18.537352
75,12.580969
76,15.290506
77,11.993881
78,10.21578
79,15.687309
80,20.945234
81,5.203604
82,23.464558
83,16.386862
84,23.877008
85,10.306183
86,7.3857656
87,17.659409
88,24.412271
89,5.368081
90,14.199552
91,17.075378
92,18.200815
93,20.813055
94,17.910875
95,10.948444
96,28.483809
97,10.726962
98,19.558342
99,19.155077
100,20.069588
101,17.885345
102,7.270164
103,16.50777
104,18.60719
105,10.278082
106,17.779371
107,19.056704
108,5.814249
109,20.279594
110,22.187513
111,18.752653
112,21.228754
113,19.863039
114,9.938079
115,6.018916
116,19.677904
117,12.214199
118,23.220589
119,16.832724
120,20.313944
121,7.3485546
122,10.156953
123,11.172941
124,18.202509
125,9.663066
126,12.112253
127,13.394152
128,14.275576
129,8.647262
130,13.449614
131,4.967594
132,7.1801443
133,5.017686
134,11.135769
135,18.62626
136,17.32786
137,19.440401
138,5.1012278
139,10.417444
140,10.769501
141,10.105103
142,9.623541
143,11.134401
144,22.041054
145,9.153244
146,10.464829
147,16.965876
148,20.691027
149,14.796522
150,11.016514
151,15.523815
152,10.698526
153,9.403574
154,20.343336
155,13.00469
156,13.54093
157,27.328789
158,20.26895
159,16.190659
160,11.228955
161,16.594723
162,9.059298
163,19.152788
164,8.160411
165,20.222855
166,10.447465
167,15.75663
168,10.6904125
169,5.7932005
170,12.294717
171,11.454601
172,9.054429
173,12.295038
174,21.830961
175,5.324761
176,5.19456
177,20.291584
178,13.02309
179,12.131626
180,19.165482
181,18.56494
182,9.452884
183,10.4764805
184,11.199934
185,10.778532
186,13.296129
187,20.584064
188,6.979225
189,11.966196
190,5.847586
191,5.6375513
192,17.385838
193,9.47698
194,8.858097
195,17.401695
196,18.987535
197,15.242754
198,5.710165
199,18.84842
200,6.8625484
201,12.283977
202,20.454115
203,19.464296
204,18.082268
205,9.164986
206,10.076715
207,7.8695955
208,11.230806
209,19.009497
210,10.889273
211,13.334278
212,18.93461
213,5.0505433
214,13.78404
215,17.274504
216,13.787264
217,9.8488245
218,19.437159
219,9.3722925
220,7.726942
221,9.664553
222,12.303618
223,18.93542
224,16.097424
225,9.310394
226,5.206126
227,13.945755
228,14.771976
229,10.053643
230,12.334335
231,5.6767178
232,10.3397875
233,18.449762
234,14.281755
235,5.455592
236,9.995061
237,15.981928
238,10.663696
239,15.149643
240,19.36212
241,14.588262
242,23.86402
243,16.31682
244,9.644742
245,5.7306995
246,18.958424
247,11.970525
248,20.377182
249,16.715906
250,17.674675
251,14.580563
252,16.972956
253,17.184015
254,14.46327
255,10.54796
256,19.884705
257,11.316955
258,12.300285
259,17.283049
260,14.464034
261,21.387823
262,11.570904
263,11.3063965
264,15.527442
265,12.777409
266,13.978753
267,9.080352
268,12.530096
269,15.553732
270,11.649712
271,11.684632
272,17.581861
273,9.726957
274,16.53896
275,5.1335096
276,14.438922
277,8.893703
278,15.316638
279,9.364968
280,19.123173
281,14.042475
282,12.5573
283,11.943745
284,6.5132723
285,15.968584
286,6.6170783
287,15.43317
288,9.867466
289,15.375131
290,17.152037
291,10.340357
292,14.775082
293,15.957802
294,14.859192
295,15.2966585
296,15.826412
297,13.226974
298,10.003794
299,12.493959
300,17.304745
301,15.057854
302,19.697664
303,15.731703
304,15.959215
305,17.296778
306,17.160782
307,15.802853
308,15.053928
309,17.739897
310,16.285238
311,17.423895
312,15.357926
313,11.039799
314,12.729051
315,10.771532
316,11.1745405
317,19.733458
318,13.104021
319,17.037367
320,17.93146
321,8.394228
322,13.77914
323,11.386987
324,9.77927
325,17.359388
326,5.839137
327,19.626556
328,8.714922
329,13.132037
330,16.11932
331,15.354235
332,12.636168
333,15.453042
334,12.995398
335,10.329942
336,10.962714
337,16.188251
338,10.795677
339,6.0193987
340,16.739733
341,15.263477
342,14.055197
343,13.165398
344,6.1539145
345,16.701305
346,13.21132
347,16.594442
348,19.586483
349,6.728202
350,12.407438
351,11.796942
352,14.87051
353,5.805256
354,14.959639
355,16.897158
356,11.511886
357,16.362871
358,9.489967
359,5.3747444
360,10.610281
361,11.308498
362,15.127344
363,13.984807
364,11.697615
365,14.862976
366,9.98002
367,16.94665
368,5.713176
369,11.372742
370,20.31444
371,10.865992
372,14.242716
373,17.593372
374,14.21562
375,18.086187
376,11.305546
377,14.878757
378,15.697237
379,4.999714
380,23.15156
381,7.702079
382,16.799088
383,15.105923
384,14.964609
385,21.077034
386,14.446449
387,12.173418
388,15.609297
389,20.115522
390,15.883556
391,17.355373
392,12.280097
393,11.903002
394,10.050406
395,15.543585
396,14.6103115
397,5.825598
398,12.638836
399,6.316703
400,13.222622
401,12.4841
402,4.954653
403,6.9073296
404,11.28051
405,14.808991
406,10.770922
407,6.3005605
408,5.785166
409,8.478948
410,6.1931815
411,9.917389
412,6.3468566
413,12.011551
414,8.88177
415,14.162599
416,5.765226
417,12.6137295
418,7.849924
419,6.944338
420,10.772968
421,7.2744265
422,14.858139
423,8.567975
424,14.886333
425,7.1806307
426,12.741447
427,7.236014
428,6.920514
429,12.901432
430,14.83179
431,17.897114
432,6.4783254
433,4.6530595
434,10.215324
435,15.246941
436,10.504511
437,5.135677
438,12.846078
439,6.693205
440,15.787718
441,11.912912
442,11.682583
443,15.103972
444,6.8986244
445,17.539896
446,12.261175
447,16.478468
448,12.188978
449,12.016964
450,9.5139885
451,9.324845
452,14.639774
453,12.817041
454,8.415937
455,14.6941595
456,13.843498
457,12.784907
458,17.18349
459,7.31112
460,17.52457
461,8.445578
462,6.8040285
463,7.042557
464,7.7002764
465,5.593583
466,12.501261
467,17.626604
468,7.085189
469,12.434797
470,8.190612
471,12.654005
472,10.951786
473,7.380694
474,9.979631
475,15.569418
476,7.627713
477,6.038963
478,8.085876
479,8.386036
480,17.959187
481,16.698687
482,8.838165
483,12.830291
484,10.447094
485,18.686466
486,12.69791
487,10.519124
488,12.703229
489,15.258211
490,9.186328
491,7.0314493
492,11.183836
493,9.340408
494,17.603167
495,4.6384625
496,16.627544
497,16.269594
498,7.902067
499,12.258417
500,6.817568
501,8.301119
502,17.781784
503,17.690033
504,12.460328
505,10.022915
506,14.101945
507,6.7789135
508,12.068003
509,5.8601413
510,9.592579
511,20.237791
512,9.860421
513,8.624571
514,6.7613077
515,6.340353
516,20.1784
517,4.954325
518,14.95018
519,19.755426
520,9.088542
521,11.232452
522,5.2922783
523,6.611079
524,8.943825
525,20.480953
526,10.588112
527,17.664694
528,7.2729435
529,14.327114
530,12.565451
531,7.3613386
532,5.4759874
533,17.526052
534,8.210938
535,16.744455
536,10.039043
537,10.347712
538,9.185776
539,16.610806
540,9.551693
541,18.206327
542,18.199358
543,11.2181635
544,15.113268
545,9.16571
546,9.562187
547,9.977353
548,8.627165
549,11.867646
550,8.737673
551,13.005981
552,8.634765
553,10.066847
554,3.842511
555,13.692587
556,10.986705
557,9.091247
558,12.423096
559,11.392713
560,21.00927
561,11.608573
562,7.292866
563,12.726866
564,6.095007
565,7.685461
566,8.993169
567,16.575087
568,8.077152
569,9.844294
570,7.2275853
571,11.683601
572,18.566038
573,12.73039
574,17.774836
575,10.244299
576,17.443115
577,6.2243805
578,7.223241
579,8.905585
580,8.891628
581,5.4548388
582,7.3772144
583,8.056489
584,9.094579
585,7.9463396
586,9.67365
587,6.226682
588,11.718937
589,7.6030207
590,7.4368978
591,16.409624
592,6.502806
593,8.857899
594,7.935258
595,7.8650284
596,7.478606
597,9.657234
598,7.2306814
599,10.221351
600,10.32811
601,15.918558
602,7.9450903
603,6.62697
604,9.204215
605,16.065289
606,7.1867037
607,9.829641
608,10.397012
609,14.538618
610,15.041681
611,8.1032505
612,15.090082
613,5.996465
614,13.789834
615,9.168988
616,8.099289
617,14.38847
618,7.9897738
619,18.173033
620,8.541059
621,8.359523
622,12.93655
623,8.403774
624,9.163221
625,6.757081
626,16.676273
627,19.99867
628,6.039157
629,9.308484
630,6.0146165
631,16.966696
632,9.666387
633,17.659561
634,8.710585
635,10.451727
636,12.817862
637,18.868856
638,8.403542
639,19.675695
640,8.2430725
641,21.711143
642,9.974006
643,8.583872
644,7.8411674
645,10.227147
646,6.718871
647,14.571733
648,9.654507
649,6.666912
650,14.450655
651,7.3414803
652,8.97785
653,22.69061
654,17.35978
655,9.926605
656,15.087943
657,22.548887
658,15.76054
659,18.06788
660,15.099933
661,7.5834107
662,28.476818
663,9.042355
664,24.24816
665,17.888449
666,9.681415
667,14.304982
668,19.737232
669,9.599719
670,12.219311
671,11.61655
672,11.626484
673,13.847077
674,8.844226
675,23.048212
676,17.376278
677,16.769316
678,8.584015
679,15.174342
680,6.7614794
681,9.314917
682,29.09044
683,29.46175
684,6.9508557
685,18.279654
686,13.788491
687,14.430351
688,6.49417
689,6.064974
690,14.762815
691,8.671617
692,22.22574
693,11.395311
694,8.269547
695,24.82657
696,7.015752
697,20.541447
698,16.364662
699,24.009254
700,12.36455
701,14.886053
702,11.542503
703,5.673421
704,10.524673
705,15.599182
706,10.404929
707,10.723995
708,8.127584
709,25.730547
710,18.828684
711,10.95355
712,6.1562033
713,11.655666
714,15.893248
715,8.553465
716,13.420275
717,18.503958
718,6.979581
719,11.047081
720,9.541101
721,15.882498
722,11.693245
723,12.738047
724,17.654816
725,18.32094
726,11.993242
727,15.436195
728,12.293003
729,5.5573378
730,23.032862
731,6.872051
732,8.6471
733,24.015623
734,8.772482
735,14.244549
736,15.350761
737,17.581747
738,8.573017
739,7.307996
740,8.061518
741,12.340244
742,13.108535
743,6.606982
744,10.804417
745,15.719711
746,12.228483
747,17.485035
748,7.3640614
749,9.882252
750,8.418843
751,10.243324
752,11.937577
753,5.2390666
754,13.050789
755,14.709373
756,12.782176
757,6.488765
758,8.609318
759,10.790065
760,17.465042
761,9.7236185
762,7.812887
763,14.488574
764,12.146194
765,5.7470903
766,14.431611
767,13.215916
768,14.790632
769,6.2153473
770,22.348932
771,13.604973
772,15.543203
773,18.26229
774,10.385194
775,10.947439
776,9.616254
777,20.537962
778,9.6273575
779,14.417933
780,19.933552
781,9.464949
782,24.696058
783,12.461113
784,15.102061
785,16.490507
786,14.362356
787,11.1431
788,9.565449
789,8.09473
790,9.853237
791,9.160105
792,12.957995
793,8.013395
794,10.562154
795,7.034249
796,12.927289
797,12.964476
798,16.335718
799,11.481531
800,12.130302
801,13.783876
802,10.927847
803,8.708478
804,11.911229
805,6.776062
806,22.82995
807,16.594835
808,14.454044
809,20.840076
810,20.276869
811,15.684444
812,22.442034
